T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201604;2.55016731;0.92;0.68;3.26;-6.23;0.25016731;2.3
201605;-0.316818133;1.78;-0.26;-1.81;1.94;-2.616818133;2.3
201606;3.446589983;-0.05;0.65;-1.49;4.21;1.256589983;2.19
201607;1.809736777;3.95;2.65;-1.13;-3.05;-0.510263223;2.32
201608;-0.303473133;0.5;1.15;3.31;-3.09;-2.513473133;2.21
201609;7.006472067;0.25;2.02;-1.48;-0.56;4.806472067;2.2
201610;1.041346348;-2.02;-4.37;4.18;0.65;-1.318653652;2.36
201611;3.772519139;4.86;5.49;8.27;-4.22;1.422519139;2.35
201612;-0.238389636;1.82;0.07;3.6;-0.36;-2.638389636;2.4
2007;-35.47343845;1.4;-7.04;-14.49;21.2;-79.47343845;44
2008;47.0847031;-44.19;5.88;2.4;18.88;4.3047031;42.78
2009;27.58967333;27.41;8.19;-2.68;-63.85;-14.32032667;41.91
2010;1.082432749;17.9;12.7;-3.5;5.99;-40.13756725;41.22
2011;19.24152031;1.68;-4.89;-8.48;8.24;-21.22847969;40.47
2012;30.15613723;15.7;-0.67;8.2;-0.39;-9.72386277;39.88
2013;9.153661002;30.86;5.53;1.4;5.8;-30.346339;39.5
2014;-6.81509147;11.48;-6.77;-1.69;1.7;-45.86509147;39.05
2015;23.71155341;0.88;-3.78;-10.12;20.97;-15.03844659;38.75
2016;21.46441677;13.13;6.37;19.45;-18.57;-16.99558323;38.46
