T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201510;-2.02;-4.37;4.18;0.65;-3.605418112;-3.659614929;0.054196817;0.02
201511;4.86;5.49;8.27;-4.22;7.921900026;7.846833591;0.075066435;0.01
201512;1.82;0.07;3.6;-0.36;2.021323908;0.487793052;1.533530856;0.03
201601;1.94;-1.02;-2.78;-0.97;1.582728347;1.168049237;0.41467911;0.04
201602;3.57;-2;-1.8;-1.66;2.026474918;1.531436704;0.495038214;0.04
201603;0.17;1.19;-3.18;-0.92;-0.699833507;0.536117124;-1.235950631;0.03
201604;1.09;0.73;-1.9;0.53;0.852437967;1.646115239;-0.793677272;0.05
201605;1.06;-2.55;-3.78;1.47;-1.126474742;-0.482739953;-0.643734789;0.06
201606;0.78;2.16;1.32;-0.25;3.420068703;4.236431177;-0.816362474;0.06
201607;1.87;-1.4;-0.28;1.63;1.078280299;0.758276967;0.320003332;0.07
201608;0.16;-1.69;-2.24;3.57;-0.604714352;-0.641435864;0.036721512;0.09
201609;2.51;4.54;3.03;-1.2;6.055363596;6.233795601;-0.178432005;0.09
201610;2.25;-1.94;-0.06;4.3;1.531209662;0.132675558;1.398534104;0.09
201611;3.12;-0.66;-0.05;-0.75;3.330440249;3.109511293;0.220928956;0.08
201612;1.06;-1.26;0.14;-1.6;0.766131937;0.496092267;0.27003967;0.09
2007;-44.19;5.88;2.4;18.88;-36.31635121;-50.34786239;14.03151118;1.58
2008;27.41;8.19;-2.68;-63.85;43.88145103;61.37673812;-17.49528709;0.09
2009;17.9;12.7;-3.5;5.99;20.50514792;26.1290942;-5.62394628;0.1
2010;1.68;-4.89;-8.48;8.24;0.162643253;-2.232795996;2.395439249;0.04
2011;-15.7;0.67;-8.2;0.39;16.90229834;21.22749997;-4.32520163;-0.06
2012;30.86;5.53;1.4;5.8;25.84766613;38.90624878;-13.05858265;0
2013;11.48;-6.77;-1.69;1.7;11.78364683;8.429350929;3.354295901;0
2014;0.88;-3.78;-10.12;20.97;-12.07503653;-6.938109727;-5.136926803;0.01
2015;13.13;6.37;19.45;-18.57;24.4698587;19.95749077;4.51236793;0.21
2016;19.58;-3.9;-11.58;4.15;18.21211308;18.72432535;-0.51221227;0.79
