T-1;DMR;MRP;SMB;HML;MOM
201412;-2.635130567;-0.06;2.54;2.06;1.06
201501;-6.251166837;-3.11;-0.56;-3.47;3.87
201502;0.68633991;6.13;0.48;-1.79;-2.84
201503;9.89684444;-1.12;3.02;-0.46;2.98
201504;3.605020532;0.59;-2.97;1.86;-7.37
201505;1.472850497;1.36;0.87;-1.37;6.01
201506;0.768435339;-1.53;2.83;-0.79;3.04
201507;5.006386712;1.54;-4.14;-4.12;10.28
201508;0.217224111;-6.04;0.48;2.68;-2.07
201509;-0.240305599;-3.08;-2.64;0.52;5.32
201510;-2.311623372;7.75;-1.97;-0.08;-3.97
201511;6.901293449;0.56;3.64;-0.52;2.28
201512;2.270210733;-2.17;-2.82;-2.58;3.44
201601;1.645208186;-5.77;-3.36;2.1;1.37
201602;2.889862593;-0.07;0.78;-0.48;-4.09
201603;-0.288421128;6.96;0.87;1.12;-5.14
201604;0.217962653;0.92;0.68;3.26;-6.23
201605;-0.281642455;1.78;-0.26;-1.81;1.94
201606;2.457921972;-0.05;0.65;-1.49;4.21
201607;1.299368616;3.95;2.65;-1.13;-3.05
201608;-0.073738898;0.5;1.15;3.31;-3.09
201609;5.237640769;0.25;2.02;-1.48;-0.56
201610;0.258797618;-2.02;-4.37;4.18;0.65
201611;3.527609815;4.86;5.49;8.27;-4.22
201612;1.306260115;1.82;0.07;3.6;-0.36
2007;-42.87906689;1.4;-7.04;-14.49;21.2
2008;41.99623617;-44.19;5.88;2.4;18.88
2009;18.69380468;27.41;8.19;-2.68;-63.85
2010;-1.298382262;17.9;12.7;-3.5;5.99
2011;19.48974288;1.68;-4.89;-8.48;8.24
2012;31.54496189;15.7;-0.67;8.2;-0.39
2013;15.26759428;30.86;5.53;1.4;5.8
2014;-4.832825451;11.48;-6.77;-1.69;1.7
2015;22.02150991;0.88;-3.78;-10.12;20.97
2016;18.19682985;13.13;6.37;19.45;-18.57
