ID_Firm;Firm_Name;Year -1;Industry;ESG-Score;E-Score;S-Score;G-Score;TRJAN;TRFEB;TRMRZ;TRAPR;TRMAI;TRJUN;TRJUL;TRAUG;TRSEP;TROKT;TRNOV;TRDEZ;YEARTR;MRJAN;MRFEB;MRMRZ;MRAPR;MRMAI;MRJUN;MRJUL;MRAUG;MRSEP;MROKT;MRNOV;MRDEZ;SMBJAN;SMBFEB;SMBMRZ;SMBAPR;SMBMAI;SMBJUN;SMBJUL;SMBAUG;SMBSEP;SMBOKT;SMBNOV;SMBDEZ;HMLJAN;HMLFEB;HMLMRZ;HMLAPR;HMLMAI;HMLJUN;HMLJUL;HMLAUG;HMLSEP;HMLOKT;HMLNOV;HMLDEZ;MOMJAN;MOMFEB;MOMMRZ;MOMAPR;MOMMAI;MOMJUN;MOMJUL;MOMAUG;MOMSEP;MOMOKT;MOMNOV;MOMDEZ;YEARMR;YEARSMB;YEARHML;YEARMOM
15;AbbVie Inc;2014;Pharmaceuticals;67.87167167;22.31666667;29.10555556;16.44944945;-7.065249041;-2.182700081;-3.239669419;11.94854625;2.9848438;0.90103619;4.960895267;-10.85559206;-14.95779931;10.48429964;-2.350965575;1.874462597;-7.497891745;-3.32;4.65;0.43;-0.19;2.06;2.61;-2.04;4.24;-1.97;2.52;2.55;-0.06;0.86;0.32;-1.89;-4.25;-1.85;3.07;-4.24;0.36;-3.83;4.23;-2.09;2.54;-2.09;-0.4;5.08;1.14;-0.27;-0.74;0.01;-0.58;-1.23;-1.68;-2.99;2.06;1.72;2.08;-3.3;-3.85;1.15;0.68;-0.24;0.82;0.53;0;1.05;1.06;0.956666667;-0.564166667;-0.140833333;0.141666667
15;AbbVie Inc;2015;Pharmaceuticals;69.12978268;24.03431373;30.37009804;14.72537092;-6.294007012;-0.528233152;4.596227797;8.050391812;3.163934426;-1.275713601;7.919316009;-3.216065226;-1.698877805;-10.73500122;5.555555555;2.993421053;8.530948637;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
15;AbbVie Inc;2016;Pharmaceuticals;77.12957986;27.16972477;32.07568807;17.88416702;-1.389833973;3.066666666;5.368693405;1.737779773;0.121322415;9.830354438;-2.72726568;7.709912744;20.21103896;2.275274851;6.552330694;-0.216673545;52.53960075;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
16;Abercrombie & Fitch Co;2016;Specialty Retailers;64.64790165;19.49393939;20.10606061;25.04790165;-3.249999998;5.281690141;1.4557364;-2.042483661;11.676397;-5.047911667;-20.90032154;31.54640921;15.7051282;-6.994459833;28.73900293;0.403225808;56.57241299;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
41;Adobe Systems Inc;2015;Software & IT Services;77.49349349;;;;-5.120289546;-4.465387635;10.15854375;0.469183194;5.57206538;-4.343918512;2.160977137;4.547312486;6.411764708;-0.948958911;-4.451672861;0.136173525;10.12579271;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
41;Adobe Systems Inc;2016;Software & IT Services;79.6562231;;;;10.13113162;3.816124219;9.962818998;3.186482526;6.07148198;-0.681131945;3.570418552;5.918492731;-2.921845511;17.41520311;3.090382325;-3.433074339;56.12648426;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
49;Advanced Micro Devices Inc;2007;Semiconductors & Semiconductor Equipment;68.01503414;28.54901961;29.57352941;9.892485119;1.866666668;-5.256241788;-18.30790569;0.84602369;15.43624161;-15.26162791;-27.78730703;49.40617577;-16.53418124;-33.33333333;-33.70786517;-8.474576274;-91.10793069;1.4;-1.96;0.68;3.49;3.24;-1.96;-3.73;0.92;3.22;1.8;-4.83;-0.87;0.1;1.32;-0.06;-2.06;0.03;0.77;-2.51;-0.13;-2.29;0.22;-2.63;0.2;-0.11;-0.09;-0.22;-1.15;-0.05;-1.13;-3.34;-2.24;-1.87;-2.59;-1.18;-0.52;0.21;-1.35;2.47;-0.16;-0.26;0.38;2.8;0.11;4.59;4.96;0.93;6.52;0.116666667;-0.586666667;-1.2075;1.766666667
49;Advanced Micro Devices Inc;2008;Semiconductors & Semiconductor Equipment;66.26032864;25.19166667;29.77083333;11.29782864;1.388888888;-7.234042552;39.90825688;13.1661442;25.76177285;-14.75770925;-5.426356589;19.12568306;26.62192394;-18.72791519;52.39130435;38.08844508;170.3063957;-6.36;-3.09;-0.93;4.6;1.86;-8.44;-0.77;1.53;-9.24;-17.23;-7.86;1.74;-0.89;-0.23;0.94;-1.64;3.22;1.27;2.47;3.61;-1.13;-2.34;-2.99;3.59;3.65;-0.95;-0.15;-0.96;-1.38;-2.43;5.81;1.56;6.33;-2.9;-5.94;-0.24;-7.89;6.14;4.1;-0.2;3.21;12.54;-5.15;-4.05;0.35;7.79;7.11;-5.07;-3.6825;0.49;0.2;1.573333333
49;Advanced Micro Devices Inc;2009;Semiconductors & Semiconductor Equipment;67.04577206;25.05882353;29.24632353;12.740625;-22.9338843;0.38071066;17.19342604;-2.265372169;-5.40838852;-14.58576429;2.322404372;-24.96662216;23.01038062;3.094233474;-0.545702593;12.2085048;-12.49607406;-8.12;-10.1;8.95;10.19;5.21;0.43;7.72;3.33;4.08;-2.59;5.56;2.75;-0.01;0.16;-0.08;4.83;-2.33;2.61;2.07;-0.9;2.45;-4.23;-2.49;6.11;-11.1;-7.25;3.52;5.46;-0.21;-2.71;5.27;7.76;0.92;-4.18;-0.17;0.01;-1.83;4.18;-11.38;-34.39;-12.44;5.29;-5.36;-8.84;-4.93;2.65;0.29;2.91;2.284166667;0.6825;-0.223333333;-5.320833333
49;Advanced Micro Devices Inc;2010;Semiconductors & Semiconductor Equipment;78.90579882;25.046875;31.6484375;22.21048632;-4.278728605;22.96395194;-6.623235614;3.526734925;-4.615384617;-17.66784452;5.007153076;-6.948228882;-25.73099415;14.76377953;-4.208754208;-5.096660809;-28.90821195;-3.36;3.4;6.31;2;-7.89;-5.56;6.93;-4.77;9.54;3.88;0.6;6.82;0.38;1.21;1.43;4.98;0.05;-1.98;0.17;-3;3.92;1.14;3.71;0.69;0.31;3.17;2.1;2.81;-2.38;-4.5;-0.26;-1.96;-3.12;-2.59;-0.9;3.82;-5.38;3.6;3.66;3.22;-0.13;-3;1.88;-0.19;1.35;1.64;2.53;-3.19;1.491666667;1.058333333;-0.291666667;0.499166667
