T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201506;-0.05;0.65;-1.49;4.21;0.516794321;1.153390015;-0.636595694;0.02
201507;3.95;2.65;-1.13;-3.05;4.979442334;5.806678079;-0.827235745;0.02
201508;0.5;1.15;3.31;-3.09;0.434048199;0.576001229;-0.14195303;0.02
201509;0.25;2.02;-1.48;-0.56;-0.583891219;-0.676664245;0.092773026;0.02
201510;-2.02;-4.37;4.18;0.65;-0.709748188;-3.628451708;2.91870352;0.02
201511;4.86;5.49;8.27;-4.22;6.829800135;10.20810323;-3.378303095;0.01
201512;1.82;0.07;3.6;-0.36;2.674453553;2.256911193;0.41754236;0.03
201601;1.94;-1.02;-2.78;-0.97;2.233933474;0.847010495;1.386922979;0.04
201602;3.57;-2;-1.8;-1.66;3.071407779;0.228378293;2.843029486;0.04
201603;0.17;1.19;-3.18;-0.92;-0.761297299;0.387475126;-1.148772425;0.03
201604;1.09;0.73;-1.9;0.53;0.909735171;4.21145479;-3.301719619;0.05
201605;1.06;-2.55;-3.78;1.47;0.865558331;-0.547972491;1.413530822;0.06
201606;0.78;2.16;1.32;-0.25;1.518367539;2.583680168;-1.065312629;0.06
201607;1.87;-1.4;-0.28;1.63;1.597357533;1.135038391;0.462319142;0.07
201608;0.16;-1.69;-2.24;3.57;0.115658538;-1.299644322;1.41530286;0.09
201609;2.51;4.54;3.03;-1.2;4.749121209;6.896132875;-2.147011666;0.09
201610;2.25;-1.94;-0.06;4.3;1.157068077;1.531620458;-0.374552381;0.09
201611;3.12;-0.66;-0.05;-0.75;3.732456053;3.531643256;0.200812797;0.08
201612;1.06;-1.26;0.14;-1.6;1.549652216;-0.397024774;1.94667699;0.09
2007;-44.19;5.88;2.4;18.88;-48.53292038;-41.69458175;-6.83833863;1.58
2008;27.41;8.19;-2.68;-63.85;41.4688286;33.03767387;8.43115473;0.09
2009;17.9;12.7;-3.5;5.99;18.99776284;29.47139983;-10.47363699;0.1
2010;1.68;-4.89;-8.48;8.24;-2.496788469;-2.298672026;-0.198116443;0.04
2011;-15.7;0.67;-8.2;0.39;19.15736656;21.70636122;-2.54899466;-0.06
2012;30.86;5.53;1.4;5.8;30.68889436;29.35599437;1.33289999;0
2013;11.48;-6.77;-1.69;1.7;16.21227936;7.565379583;8.646899777;0
2014;0.88;-3.78;-10.12;20.97;-3.120621654;-7.429558289;4.308936635;0.01
2015;13.13;6.37;19.45;-18.57;22.11189379;27.39075195;-5.27885816;0.21
2016;19.58;-3.9;-11.58;4.15;20.73901862;19.10779226;1.63122636;0.79
