T-1;DMR;MRP;SMB;HML;MOM
201603;0.604910733;6.96;0.87;1.12;-5.14
201604;3.268937563;0.92;0.68;3.26;-6.23
201605;1.776364961;1.78;-0.26;-1.81;1.94
201606;3.915113661;-0.05;0.65;-1.49;4.21
201607;2.097532805;3.95;2.65;-1.13;-3.05
201608;-1.150165856;0.5;1.15;3.31;-3.09
201609;5.507040501;0.25;2.02;-1.48;-0.56
201610;-0.124463229;-2.02;-4.37;4.18;0.65
201611;4.521860896;4.86;5.49;8.27;-4.22
201612;0.445373013;1.82;0.07;3.6;-0.36
2007;-38.8467946;1.4;-7.04;-14.49;21.2
2008;39.07752475;-44.19;5.88;2.4;18.88
2009;24.12069411;27.41;8.19;-2.68;-63.85
2010;-0.291216534;17.9;12.7;-3.5;5.99
2011;20.03174409;1.68;-4.89;-8.48;8.24
2012;36.91546392;15.7;-0.67;8.2;-0.39
2013;2.895377517;30.86;5.53;1.4;5.8
2014;-0.703439837;11.48;-6.77;-1.69;1.7
2015;21.75674928;0.88;-3.78;-10.12;20.97
2016;20.75010938;13.13;6.37;19.45;-18.57
