T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201612;0.856131937;1.82;0.07;3.6;-0.36;-1.543868063;2.4
2007;-34.73635121;1.4;-7.04;-14.49;21.2;-78.73635121;44
2008;43.97145103;-44.19;5.88;2.4;18.88;1.19145103;42.78
2009;20.60514792;27.41;8.19;-2.68;-63.85;-21.30485208;41.91
2010;0.202643253;17.9;12.7;-3.5;5.99;-41.01735675;41.22
2011;16.84229834;1.68;-4.89;-8.48;8.24;-23.62770166;40.47
2012;25.84766613;15.7;-0.67;8.2;-0.39;-14.03233387;39.88
2013;11.78364683;30.86;5.53;1.4;5.8;-27.71635317;39.5
2014;-12.06503653;11.48;-6.77;-1.69;1.7;-51.11503653;39.05
2015;24.6798587;0.88;-3.78;-10.12;20.97;-14.0701413;38.75
2016;19.00211308;13.13;6.37;19.45;-18.57;-19.45788692;38.46
