T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201201;7.288895564;5.05;2.15;-1.11;-7.97;5.378895564;1.91
201202;1.302825358;4.42;-1.75;0.09;-0.3;-0.677174642;1.98
201203;4.423358576;3.11;-0.6;0.87;1.5;2.463358576;1.96
201204;1.091974198;-0.85;-0.51;-0.46;3.83;-0.668025802;1.76
201205;2.622514273;-6.19;0.02;-0.62;6.6;0.692514273;1.93
201206;-2.200251647;3.89;0.77;0.44;-1.12;-4.500251647;2.3
201207;6.581120658;0.79;-2.59;-0.26;3.07;4.001120658;2.58
201208;-3.538919661;2.55;0.42;1.32;-2.49;-6.278919661;2.74
201209;5.372293939;2.73;0.51;1.54;-1.02;2.562293939;2.81
201210;3.855980432;-1.76;-1.14;3.79;0.1;1.235980432;2.62
201211;1.263615263;0.78;0.58;-0.96;0.38;-1.456384737;2.72
201212;2.047185327;1.18;1.47;3.56;-2.97;-0.852814673;2.9
201301;-2.75081468;5.57;0.39;0.95;-1.88;-5.61081468;2.86
201302;4.963944202;1.29;-0.45;0.03;1.31;2.253944202;2.71
201303;0.282808307;4.03;0.78;-0.29;1.94;-2.437191693;2.72
201304;-0.642077465;1.55;-2.42;0.63;0.25;-3.352077465;2.71
201305;1.525906838;2.8;1.67;2.6;-1.8;-1.034093162;2.56
201306;4.024162184;-1.2;1.22;-0.18;0.59;1.424162184;2.6
201307;-4.796669646;5.65;1.86;0.56;1.74;-7.336669646;2.54
201308;4.837870911;-2.71;0.3;-2.78;0.05;2.417870911;2.42
201309;-4.632791539;3.77;2.93;-1.19;2.97;-7.162791539;2.53
201310;2.0272022;4.18;-1.49;1.14;0.16;-0.2727978;2.3
201311;0.670606396;3.12;1.24;0.24;0.4;-1.659393604;2.33
201312;-0.302912043;2.81;-0.5;-0.31;0.07;-2.512912043;2.21
201401;-2.915080612;-3.32;0.86;-2.09;1.72;-4.795080612;1.88
201402;5.497197028;4.65;0.32;-0.4;2.08;3.517197028;1.98
201403;-0.945587289;0.43;-1.89;5.08;-3.3;-2.985587289;2.04
201404;0.289220899;-0.19;-4.25;1.14;-3.85;-1.650779101;1.94
201405;0.039471431;2.06;-1.85;-0.27;1.15;-2.160528569;2.2
201406;-0.095877249;2.61;3.07;-0.74;0.68;-2.455877249;2.36
201407;-0.602346693;-2.04;-4.24;0.01;-0.24;-2.922346693;2.32
201408;-4.008277512;4.24;0.36;-0.58;0.82;-6.178277512;2.17
201409;-4.432215052;-1.97;-3.83;-1.23;0.53;-6.602215052;2.17
201410;5.911696873;2.52;4.23;-1.68;0;3.841696873;2.07
201411;0.250481246;2.55;-2.09;-2.99;1.05;-2.009518754;2.26
201412;-5.632658656;-0.06;2.54;2.06;1.06;-7.872658656;2.24
201501;-8.072460772;-3.11;-0.56;-3.47;3.87;-10.16246077;2.09
201502;2.486686759;6.13;0.48;-1.79;-2.84;0.706686759;1.78
201503;9.745670446;-1.12;3.02;-0.46;2.98;7.855670446;1.89
201504;3.405779509;0.59;-2.97;1.86;-7.37;1.595779509;1.81
201505;1.843352242;1.36;0.87;-1.37;6.01;0.033352242;1.81
201506;0.255820562;-1.53;2.83;-0.79;3.04;-1.384179438;1.64
201507;5.068549471;1.54;-4.14;-4.12;10.28;3.568549471;1.5
201508;1.604314458;-6.04;0.48;2.68;-2.07;0.044314458;1.56
201509;-0.689046005;-3.08;-2.64;0.52;5.32;-2.319046005;1.63
201510;-2.805928483;7.75;-1.97;-0.08;-3.97;-4.565928483;1.76
201511;11.27676641;0.56;3.64;-0.52;2.28;9.13676641;2.14
201512;2.778485404;-2.17;-2.82;-2.58;3.44;0.288485404;2.49
201601;0.897268509;-5.77;-3.36;2.1;1.37;-1.532731491;2.43
201602;0.158149131;-0.07;0.78;-0.48;-4.09;-2.261850869;2.42
201603;0.222668145;6.96;0.87;1.12;-5.14;-2.257331855;2.48
201604;3.257479436;0.92;0.68;3.26;-6.23;0.957479436;2.3
201605;-1.304182768;1.78;-0.26;-1.81;1.94;-3.604182768;2.3
201606;3.430893852;-0.05;0.65;-1.49;4.21;1.240893852;2.19
201607;1.677305913;3.95;2.65;-1.13;-3.05;-0.642694087;2.32
201608;-0.934242967;0.5;1.15;3.31;-3.09;-3.144242967;2.21
201609;6.922945135;0.25;2.02;-1.48;-0.56;4.722945135;2.2
201610;1.5558572;-2.02;-4.37;4.18;0.65;-0.8041428;2.36
201611;4.446095226;4.86;5.49;8.27;-4.22;2.096095226;2.35
201612;-0.695506695;1.82;0.07;3.6;-0.36;-3.095506695;2.4
2007;-32.24580661;1.4;-7.04;-14.49;21.2;-76.24580661;44
2008;32.01428606;-44.19;5.88;2.4;18.88;-10.76571394;42.78
2009;26.0135386;27.41;8.19;-2.68;-63.85;-15.8964614;41.91
2010;1.560896886;17.9;12.7;-3.5;5.99;-39.65910311;41.22
2011;19.7199626;1.68;-4.89;-8.48;8.24;-20.7500374;40.47
2012;30.11059228;15.7;-0.67;8.2;-0.39;-9.76940772;39.88
2013;5.207235665;30.86;5.53;1.4;5.8;-34.29276434;39.5
2014;-6.643975586;11.48;-6.77;-1.69;1.7;-45.69397559;39.05
2015;26.89799;0.88;-3.78;-10.12;20.97;-11.85201;38.75
2016;19.63473012;13.13;6.37;19.45;-18.57;-18.82526988;38.46
