T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201611;3.12;-0.66;-0.05;-0.75;3.823452138;3.692519139;0.130932999;0.08
201612;1.06;-1.26;0.14;-1.6;1.515575685;-0.328389636;1.843965321;0.09
2007;-44.19;5.88;2.4;18.88;-49.60149545;-37.05343845;-12.548057;1.58
2008;27.41;8.19;-2.68;-63.85;40.93442635;46.9947031;-6.06027675;0.09
2009;17.9;12.7;-3.5;5.99;18.65965102;27.48967333;-8.83002231;0.1
2010;1.68;-4.89;-8.48;8.24;-1.034397686;1.042432749;-2.076830435;0.04
2011;-15.7;0.67;-8.2;0.39;20.46655264;19.30152031;1.16503233;-0.06
2012;30.86;5.53;1.4;5.8;32.52932115;30.15613723;2.37318392;0
2013;11.48;-6.77;-1.69;1.7;13.17919809;9.153661002;4.025537088;0
2014;0.88;-3.78;-10.12;20.97;-4.595449643;-6.82509147;2.229641827;0.01
2015;13.13;6.37;19.45;-18.57;20.20979436;23.50155341;-3.29175905;0.21
2016;19.58;-3.9;-11.58;4.15;19.33596789;20.67441677;-1.33844888;0.79
