ID;Name;Year;E-Score-1;S-Score-1;G-Score-1;TRYear
71;AK Steel Holding Corp;2014;24,72222222;25,31397306;24,54796954;-7,282922114
71;AK Steel Holding Corp;2015;24,66442953;27,15687919;25,09884885;-77,50952813
71;AK Steel Holding Corp;2016;23,78013029;22,03094463;28,3041543;202,4040581
71;AK Steel Holding Corp;2017;23,93564356;20,53960396;24,6606613;-77,90308269
72;Akamai Technologies Inc;2008;14,54;20,4;16,27458396;-59,42434197
72;Akamai Technologies Inc;2010;11,62048193;14,85542169;10,76819249;65,54386826
72;Akamai Technologies Inc;2014;23,27155172;15,25862069;21,27188465;32,87450663
72;Akamai Technologies Inc;2015;23,68897638;15,84645669;19,0177665;-17,03219306
73;Akebia Therapeutics Inc;2017;11,64759036;11,11295181;16,23420941;54,23696372
75;Alacer Gold Corp;2010;6,505025126;19,84422111;15,29716981;103,893235
75;Alacer Gold Corp;2011;7,487318841;19,17210145;9,381802721;42,31366884
75;Alacer Gold Corp;2012;8,817375887;18,82978723;7,370141343;-48,79598845
75;Alacer Gold Corp;2013;7,918088737;14,471843;16,75978648;-59,27374464
75;Alacer Gold Corp;2014;8,671717172;14,18350168;10,92333333;12,04488021
75;Alacer Gold Corp;2015;8,203020134;12,96895973;12,95560748;9,415395365
75;Alacer Gold Corp;2016;8,110749186;15,46254072;13,84689349;3,375418533
75;Alacer Gold Corp;2017;8,673267327;19,68976898;16,63379205;1,573518032
76;Alamo Group Inc;2017;5,981884058;7,574275362;11,40674014;42,77617442
77;Alarm.com Holdings Inc;2016;15,63380282;16,66666667;5,273145401;57,22556291
77;Alarm.com Holdings Inc;2017;17,33271375;15,18494424;5,25328529;34,05896546
78;Alaska Air Group Inc;2016;13,2704918;19,9057377;26,22344214;17,4983621
78;Alaska Air Group Inc;2017;16,78787879;21,23106061;27,27554048;-15,55042653
79;Albany International Corp;2016;3,053571429;11,40178571;9,624480712;27,62162095
79;Albany International Corp;2017;2,941666667;13,8625;14,02352692;39,99729498
